# pt  v2 errv2 syslow syshigh
0.247 0.02601 0.001 0.023 0.023
0.348 0.04210 6e-4 0.0034 0.0034
0.448 0.05541 7e-4 0.0022 0.0022
0.548 0.06853 8e-4 0.0017 0.0017
0.648 0.08077 9e-4 0.0015 0.0015
0.748 0.09316 0.0010 0.0015 0.0015
0.848 0.10257 0.0011 0.0016 0.0016
0.948 0.11494 0.0013 0.0014 0.0014
1.092 0.12842 0.0011 0.0013 0.0013
1.292 0.14455 0.0014 0.0016 0.0016
1.492 0.15539 0.0018 0.0018 0.0018
1.692 0.16641 0.0025 0.0021 0.0021
1.892 0.18706 0.0033 0.0024 0.0024
2.200 0.19007 0.0032 0.0024 0.0024
2.703 0.19675 0.0056 0.0027 0.0027
3.343 0.17518 0.0083 0.0030 0.0030
4.381 0.15207 0.021 0.004 0.004
5.410 0.23778 0.050 0.015 0.015
