# pt  v2 errv2 syslow syshigh
0.247 0.01723 0.002 0.012 0.012
0.348 0.01929 0.0018 0.0017 0.0017
0.448 0.01688 0.0021 0.0017 0.0017
0.548 0.02643 0.0023 0.0024 0.0024
0.648 0.02132 0.0026 0.0015 0.0015
0.748 0.02928 0.0029 0.0017 0.0017
0.848 0.03444 0.0033 0.0015 0.0015
0.948 0.03909 0.0037 0.0015 0.0015
1.092 0.04922 0.0032 0.0016 0.0016
1.292 0.04801 0.0041 0.0013 0.0013
1.492 0.05124 0.0053 0.0011 0.0011
1.692 0.06137 0.0073 0.0015 0.0015
1.892 0.08583 0.0099 0.0019 0.0019
2.200 0.09233 0.0099 0.0017 0.0017
2.703 0.11270 0.0193 0.0026 0.0026
3.343 0.11230 0.031 0.004 0.004
